anon_polygon_id,start,end,duration_days,severity,min_zscore,mean_zscore,cause,cause_confidence,climatology_source,explanation
AOI-0001,2010-06-16,2010-07-17,32,suppression,-1.19,-1.08,non_weather,0.35,polygon,"Осадков 26 мм при норме 40 мм (65 процентов), температура отличается от нормы на 1.3 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2010-08-25,2010-09-08,15,suppression,-1.43,-1.22,non_weather,0.35,polygon,"Осадков 13 мм при норме 21 мм (61 процентов), температура отличается от нормы на 0.9 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2011-04-01,2011-06-02,63,critical,-2.4,-1.46,non_weather,0.35,polygon,"Осадков 55 мм при норме 69 мм (80 процентов), температура отличается от нормы на -1.7 градуса. Ни один погодный порог не превышен, хотя температура отклонена от нормы на -1.7 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2013-06-05,2013-07-04,30,suppression,-1.7,-1.42,non_weather,0.5,polygon,"Осадков 44 мм при норме 42 мм (105 процентов), температура отличается от нормы на 0.9 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 30 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2014-04-08,2014-05-26,49,suppression,-1.96,-1.41,non_weather,0.5,polygon,"Осадков 41 мм при норме 58 мм (71 процентов), температура отличается от нормы на 1.3 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 49 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2016-04-06,2016-05-06,31,suppression,-1.24,-1.08,non_weather,0.5,polygon,"Осадков 34 мм при норме 47 мм (73 процентов), температура отличается от нормы на 1.0 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 31 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2016-05-25,2016-06-20,27,suppression,-1.97,-1.42,cold,0.55,polygon,"Средняя температура за период на 2.6 градуса ниже нормы. Похолодание пришлось на фазу активного роста (день года 146): набор биомассы приостановился. Такое угнетение обычно обратимо, но сдвигает развитие на одну-две недели."
AOI-0001,2018-06-17,2018-07-23,37,suppression,-1.35,-1.14,non_weather,0.35,polygon,"Осадков 48 мм при норме 38 мм (126 процентов), температура отличается от нормы на 1.6 градуса. Ни один погодный порог не превышен, хотя температура отклонена от нормы на 1.6 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2019-04-01,2019-05-07,37,suppression,-1.98,-1.23,non_weather,0.5,polygon,"Осадков 37 мм при норме 47 мм (79 процентов), температура отличается от нормы на -0.1 градуса — ни засухи, ни жары, ни холода, ни переувлажнения за эти 37 дней не было. Погода отклонение не объясняет: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0001,2019-09-18,2019-09-24,7,critical,-2.04,-1.44,cold,0.35,polygon,"Температура за период на 6.1 градуса ниже нормы, но это конец сезона (день года 261). Для созревающего посева холод означает ускоренное естественное отмирание, а не угнетение. Отдельного вмешательства обычно не требует."
